;Topology;Params;Number_Iterations;Number_Particles;C1;C2;W;Mean bests_Results;Best of Iterations
130;ALL;Number of interations: 200 C1: 0.7 C2:2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.7;2.0;0.5;7.904787935331115e-15;3.9968028886505635e-15
131;ALL;Number of interations: 200 C1: 0.7 C2:2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.7;2.0;0.9;3.9141216856000867;3.1318909430413275
132;ALL;Number of interations: 200 C1: 1 C2:0.2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;1.0;0.2;0.3;0.10825222038690407;0.01203263681670963
133;ALL;Number of interations: 200 C1: 1 C2:0.2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;1.0;0.2;0.5;0.14079142366244152;0.022097447445589058
134;ALL;Number of interations: 200 C1: 1 C2:0.2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;1.0;0.2;0.9;5.055142514098776e-06;1.6613645752450168e-06
135;ALL;Number of interations: 200 C1: 1 C2:0.5 w:0.3 N_Particles:50 Topology:ALL;ALL;50;1.0;0.5;0.3;0.15032382221722296;0.003315050909435957
136;ALL;Number of interations: 200 C1: 1 C2:0.5 w:0.5 N_Particles:50 Topology:ALL;ALL;50;1.0;0.5;0.5;1.0036416142611416e-14;4.440892098500626e-16
137;ALL;Number of interations: 200 C1: 1 C2:0.5 w:0.9 N_Particles:50 Topology:ALL;ALL;50;1.0;0.5;0.9;0.00018478947312461358;4.866268234993143e-05
138;ALL;Number of interations: 200 C1: 1 C2:0.8 w:0.3 N_Particles:50 Topology:ALL;ALL;50;1.0;0.8;0.3;0.005483222670423249;1.8952429816643246e-06
139;ALL;Number of interations: 200 C1: 1 C2:0.8 w:0.5 N_Particles:50 Topology:ALL;ALL;50;1.0;0.8;0.5;2.220446049250313e-15;4.440892098500626e-16
140;ALL;Number of interations: 200 C1: 1 C2:0.8 w:0.9 N_Particles:50 Topology:ALL;ALL;50;1.0;0.8;0.9;0.008623232612746622;0.0010747334114538099
141;ALL;Number of interations: 200 C1: 1 C2:2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;1.0;2.0;0.3;2.575717417130363e-15;4.440892098500626e-16
142;ALL;Number of interations: 200 C1: 1 C2:2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;1.0;2.0;0.5;3.5260683262094974e-14;7.549516567451064e-15
143;ALL;Number of interations: 200 C1: 1 C2:2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;1.0;2.0;0.9;4.101656239266052;3.4254996923452947
144;ADJ2;Number of interations: 50 C1: 0.1 C2:0.2 w:0.3 N_Particles:50 Topology:ADJ2;ADJ2;50;0.1;0.2;0.3;1.1252411824140338;0.3413067309366302
145;ADJ2;Number of interations: 50 C1: 0.1 C2:0.2 w:0.5 N_Particles:50 Topology:ADJ2;ADJ2;50;0.1;0.2;0.5;0.9111443866777094;0.3153856210993564
146;ADJ2;Number of interations: 50 C1: 0.1 C2:0.2 w:0.9 N_Particles:50 Topology:ADJ2;ADJ2;50;0.1;0.2;0.9;0.29506891934132834;0.10179328687480593
147;ADJ2;Number of interations: 50 C1: 0.1 C2:0.5 w:0.3 N_Particles:50 Topology:ADJ2;ADJ2;50;0.1;0.5;0.3;0.3713283848527838;0.030131181137598606
148;ADJ2;Number of interations: 50 C1: 0.1 C2:0.5 w:0.5 N_Particles:50 Topology:ADJ2;ADJ2;50;0.1;0.5;0.5;0.11951164063350364;0.03174906144974132
149;ADJ2;Number of interations: 50 C1: 0.1 C2:0.5 w:0.9 N_Particles:50 Topology:ADJ2;ADJ2;50;0.1;0.5;0.9;1.685822408826962;0.4159244345100288
150;ADJ2;Number of interations: 50 C1: 0.1 C2:0.8 w:0.3 N_Particles:50 Topology:ADJ2;ADJ2;50;0.1;0.8;0.3;0.09456578605526618;0.019874366644537123
151;ADJ2;Number of interations: 50 C1: 0.1 C2:0.8 w:0.5 N_Particles:50 Topology:ADJ2;ADJ2;50;0.1;0.8;0.5;0.01092772978986618;0.001634250111088864
